0.2
1.0
15
1000
1	A	660.61	224.77
2	A	561.84	679.03
3	A	525.18	507.71
4	A	986.49	177.07
5	A	882.77	887.72
6	A	734.6	231
7	A	468.21	695.39
8	A	491.74	823.46
9	A	535.9	776.1
10	A	126.72	800.71
11	A	37.13	851.3
12	A	711.73	931.23
13	A	200.49	531.63
14	A	314.85	802.63
15	A	440.09	329.69
16	A	205.15	504.93
17	A	641.12	98.97
18	A	359.35	727.91
19	A	32.69	562.48
20	A	650.76	540.73
21	A	635.91	787.53
22	A	764	615.08
23	A	657.88	108.48
24	A	381.61	94.89
25	A	286.93	368.1
26	A	254.54	450.52
27	A	971.5	394.63
28	A	147.11	26.35
29	A	391.14	923.45
30	A	516.49	147.01
31	A	252.41	442.67
32	A	938.97	748.34
33	A	64.78	786.61
34	A	1012.58	283.11
35	A	646.99	517.74
36	A	797.28	66.1
37	A	340.58	798.22
38	A	410.67	409.34
39	A	452.87	482.42
40	A	630.03	305.53
41	A	746.1	107.17
42	A	649.45	611.73
43	A	933.59	341.66
44	A	460.88	562.38
45	A	455.09	971.63
46	A	567.13	539.27
47	A	996.19	610.2
48	A	797.61	639.4
49	A	831.63	648.77
50	A	640.5	847.76
51	A	767.52	12.78
52	A	800.46	316.86
53	A	635.96	984.78
54	A	528.85	537.3
55	A	345.98	829.01
56	A	193.72	998.91
57	A	961.24	997.05
58	A	359.11	992.44
59	A	926.37	498.9
60	A	858.29	963.14
61	A	177.18	8.76
62	A	27.49	47.17
63	A	683.75	964.42
64	A	108.46	437.15
65	A	64.58	927.77
66	A	912.44	633.38
67	A	254.98	838.25
68	A	780.47	620.11
69	A	774.59	305.59
70	A	307.86	285.41
71	A	127.35	969.84
72	A	620.22	344.57
73	A	852.81	94.91
74	A	344.49	226.05
75	A	792.65	13.33
76	A	444.01	744.76
77	A	503.1	360.43
78	A	66.48	256.87
79	A	892.66	166.34
80	A	764.03	121.37
81	A	854.49	34.48
82	A	623.27	430.5
83	A	582.22	616.01
84	A	206.33	761.46
85	A	330.65	748
86	A	974.07	409
87	A	413.06	897.26
88	A	850.06	628.06
89	A	237.08	684.89
90	A	262.49	465.05
91	A	201.43	120.45
92	A	831.89	76.84
93	A	256.86	1006.66
94	A	783.48	973.11
95	A	667	794.87
96	A	701.09	743.58
97	A	329.01	421.45
